//DNS Browser - DNS Database//
about.com	208.185.127.40
abstractvb.com	66.102.135.211
abuse.net	208.31.42.77
adserver.ign.com	216.35.123.118
aim.com	64.12.151.99
altavista.com	66.94.229.254
amazon.com	207.171.163.30
aol.com	205.188.145.214
apple.com	17.112.152.32
ard.yahoo.com	216.136.232.143
arin.net	69.25.34.199
aznhangukboi.findapix.com	209.126.176.13
babelfish.altavista.com	66.94.233.46
bandwidthplace.com	217.160.248.33
bates.ctc.edu	168.156.217.7
battle.net	216.148.223.71
bemanistyle.com	67.19.221.91
betterwhois.com	216.12.139.40
blizzard.com	216.148.223.72
bluekestrel.com	217.69.35.141
blue-light.nu	66.230.226.245
bluelight.nu	80.69.65.251
bulletin.myspace.com	69.89.74.99
bullseye-network.com	69.20.69.181
cars.ign.com	216.35.123.90
cdn.aim.com	64.12.54.217
cgi.ebay.com	66.135.204.10
channels.netscape.com	64.12.48.217
cheats.ign.com	216.35.123.121
cnet.com	216.239.115.141
codebook.org	212.247.27.201
codeguru.com	63.236.73.79
cognitivedistortion.com	66.221.196.127
com.com	216.239.115.141
comcast.com	164.109.28.3
completewhois.com	216.151.192.222
corp.igngamespy.com	216.35.123.90
counter-strike.net	207.38.0.82
crackingislife.com	208.53.170.18
ctc.edu	134.39.2.119
cube.ign.com	216.35.123.121
db.gamefaqs.com	216.239.115.138
ddrfreak.com	207.158.28.24
ddrmaniax.net	64.246.50.91
ddruk.com	81.29.73.120
devx.com	63.236.73.21
dictionary.com	66.161.12.81
dictionary.reference.com	66.161.12.81
dir.yahoo.com	66.218.71.192
dnsmadeeasy.com	63.219.151.24
dnsreport.com	69.2.200.183
dnsstuff.com	69.2.200.183
domaininfo.com	193.14.90.168
doubleclick.net	216.73.92.112
download.com	216.239.115.131
downloads.com	216.239.115.148
dw.com.com	216.239.115.143
ebay.com	66.135.192.87
excite.com	208.45.133.23
exhedra.com	216.5.163.57
filmforce.ign.com	216.35.123.90
findapix.com	209.126.176.13
fob-drama.com	217.160.226.65
fox.com	64.37.246.11
freeipods.com	207.97.193.251
freevbcode.com	63.236.73.107
froogle.216.239.51.99	216.239.53.99
froogle.google.com	216.239.53.99
g.microsoft.com	65.54.195.188
g.msn.com	207.68.179.219
gaim.sourceforge.net	66.35.250.209
gamefaqs.com	216.239.115.138
gamers.com	205.209.166.121
games.com	208.39.19.74
games.ign.com	216.35.123.90
games.yahoo.com	66.218.71.230
geocities.com	66.218.77.68
google.com	216.239.57.104
groups.216.239.53.99	216.239.51.99
groups.216.239.57.104	216.239.51.99
groups.google.com	216.239.51.99
guides.ign.com	216.35.123.90
hoaxinfo.com	64.177.232.91
home.myspace.com	69.89.74.83
hotmail.com	207.68.171.233
howthingswork.com	216.183.103.150
bobandgeorge.com	64.159.77.53
askjeeves.com	65.214.39.203
centralops.net	216.46.246.238
crsnic.net	192.153.247.100
dns.net	64.39.31.27
computec.ch	195.65.88.60
askjeevesforkids.com	65.214.39.11
google.com	64.233.167.99
