//DNS Browser - DNS Database//
i1.bluelight.nu	80.69.65.251
icewalkers.com	66.70.82.83
ign.com	216.35.123.121
igngamespy.com	216.35.123.102
images.66.102.7.99	216.239.53.99
images.amazon.com	63.209.52.72
images.google.com	216.239.53.99
images.search.yahoo.com	66.218.71.225
images.shockwave.com	64.14.117.25
insider.ign.com	216.35.123.90
internic.net	192.0.34.161
ipv6tools.com	69.2.200.183
juno.com	64.136.29.200
kdrama.com	67.18.233.238
keyhole.com	65.87.18.131
king5.com	147.136.250.100
king5tv.com	147.136.250.100
local.yahoo.com	216.155.201.224
login.passport.net	65.54.179.195
login.yahoo.com	66.218.75.184
lycos.com	209.202.216.27
macromedia.com	216.104.212.88
mail.myspace.com	69.89.74.59
mail.yahoo.com	66.218.75.184
messenger.msn.com	65.54.213.62
messenger.yahoo.com	66.94.234.13
microsoft.com	207.46.156.252
msdn.microsoft.com	207.46.248.109
msn.com	207.68.173.254
msv.dk	80.163.11.59
myspace.com	69.89.74.24
netscape.com	64.12.37.146
network-tools.com	66.98.244.117
newgrounds.com	38.119.130.58
news.216.239.51.99	216.239.37.99
news.216.239.53.99	216.239.37.99
news.google.com	216.239.37.99
office.microsoft.com	65.54.206.30
passport.net	65.54.179.226
pc.ign.com	216.35.123.121
pc-adviser.de	213.203.228.25
persistentrealities.com	80.69.68.197
pingalink.com	216.213.99.180
planet-source-code.com	216.5.163.42
play.games.com	208.39.19.72
pricescan.com	204.178.113.130
pricewatch.com	69.20.62.201
profiles.myspace.com	65.216.72.120
property-solutions.biz	66.245.187.160
ps2.ign.com	216.35.123.121
pscpool.exhedra.com	216.5.163.42
nuclearpower.com	66.111.101.98
nic.cr	196.40.59.28
phaster.com	216.71.189.128
laurentconstantin.com	81.91.65.187
